knowledge_id,source_dataset,fault_type_raw,fault_type_cn,root_cause,suggested_actions,review_required
TS_D001,TelecomTS,Jamming,信道干扰,Jamming,"**Diagnose Summary:** **Issue:** Severe communication degradation in the wireless network due to external interference. **Symptoms:** DL_BLER and UL_BLER increase, UL_MCS decreases, and TX_Bytes and RX_Bytes experience drops. **Root Cause:** Active jammer generating continuous radio interference and disrupting normal wireless transmissions. **Resolution:** Identify, locate, and isolate the jammer to eliminate the interference, and implement measures to enhance network resilience against future jamming.",1
TS_D002,TelecomTS,High Network Congestion (Gradual Buildup),带宽不足,High Network Congestion (Gradual Buildup),"**Diagnose Summary:** - **Issue:** Gradual buildup of high network congestion in the wireless network. - **Symptoms:** Exponential growth in uplink buffer backlog and block error rates; logistic growth in PRB utilization and PRB allocation; logarithmic decay in both transmitted and received bytes; exponential increase in uplink and downlink packet counts. - **Root Cause:** Excessive traffic demand surpassing available wireless network resources, resulting in congestion and degraded link quality. - **Resolution:** Increased radio resource allocation, prioritized critical traffic flows, and optimized scheduling policies to alleviate congestion and restore normal network performance.",0
TS_D003,TelecomTS,Co-Channel Interference (Severe),信道干扰,Co-Channel Interference (Severe),"**Diagnose Summary:** - **Issue:** Severe co-channel interference impacting wireless network performance. - **Symptoms:** Significant decreases in reference signal received power (8–15 dB), uplink signal-to-noise ratio (8–15 dB), transmitted/received bytes (30–80%), and uplink/downlink packet counts (40–70%); increased uplink/downlink block error rates (50–200%), PRB utilization (30–80%), and PRB allocations (20–70%). - **Root Cause:** Overlapping frequency channels between neighboring cells causing interference. - **Resolution:** Reconfigured channel allocations to minimize overlap, optimized frequency planning, and adjusted power levels to reduce interference.",1
TS_D004,TelecomTS,Faulty RF Filters (Temporal),误码过高,Faulty RF Filters (Temporal),"**Diagnose Summary:** - **Issue:** Temporal malfunction of RF filters causing degraded wireless link quality. - **Symptoms:** Linear decreases in Reference Signal Received Power and Uplink Signal-to-Noise Ratio; exponential increases in both uplink and downlink block error rates and PRB utilization; logarithmic decay in transmitted and received bytes; linear increase in PRBs allocated. - **Root Cause:** Faulty or degraded RF filters impairing signal integrity and system performance. - **Resolution:** Replaced or repaired the affected RF filters, restored normal metric trends, and verified network stability.",0
TS_D005,TelecomTS,Doppler Shift (Severe),信道干扰,Doppler Shift (Severe),"**Diagnose Summary:** - **Issue:** Severe Doppler shift causing periodic wireless signal and throughput instability. - **Symptoms:** Periodic fluctuations in RSRP (3–8 dB) and uplink SNR (2–5 dB) at 2–3 Hz; downlink and uplink MCS decreased by 1–2 levels; multiplicative oscillations in transmitted/received bytes (factor 0.20–0.40) and PRBs allocated (factor 0.30–0.60) at 2–3 Hz. - **Root Cause:** Rapid relative motion between the transmitter and receiver inducing Doppler effect. - **Resolution:** Reduced source/receiver mobility, reoriented antennas for optimal alignment, and updated scheduling/adaptation algorithms to improve performance under mobility scenarios.",1
TS_D006,TelecomTS,Resource Allocation Bugs,带宽不足,Resource Allocation Bugs,"**Diagnose Summary:** - **Issue:** Oscillatory resource allocation bug causing unstable wireless network performance. - **Symptoms:** Downlink and uplink PRBs and their utilizations, allocated PRBs, and transmitted/received bytes all exhibited multiplicative oscillations (amplitude 0.30–1.00, frequency 0.3–1.0 Hz). Both uplink and downlink block error rates increased by 20–100%. - **Root Cause:** Faulty resource scheduler logic causing periodic instability in PRB allocation and utilization. - **Resolution:** Deployed a scheduler patch to stabilize PRB allocation and utilization; reset affected radio nodes to clear oscillatory states.",0
TS_D007,TelecomTS,Antenna Failure,基站故障,Antenna Failure,"**Diagnose Summary:** - **Issue:** Antenna failure has adversely impacted wireless network performance. - **Symptoms:** Significant drop in reference signal received power (10–20 units). Uplink SNR fell (5–15 units). Both uplink and downlink block error rates surged exponentially. Uplink and downlink MCS decreased (5–15 units). PRBs for downlink (30–80%) and uplink (50–80%) decreased. Transmitted and received bytes declined logarithmically. Uplink buffer backlog grew exponentially. Uplink packet count rose (50–200%), downlink packet count increased (30–100%). - **Root Cause:** Hardware malfunction due to antenna failure impeding signal transmission and reception. - **Resolution:** Antenna hardware was inspected, faulty components replaced, and network performance monitored to confirm restoration.",1
TS_D008,TelecomTS,Co-Channel Interference (Mild),信道干扰,Co-Channel Interference (Mild),"**Diagnose Summary:** - **Issue:** Mild co-channel interference detected in the wireless network. - **Symptoms:** Decreased reference signal power (3–8 units), reduced uplink SNR (1–3 units), increased block error rates (uplink & downlink 10–40%), reduced transmitted and received bytes (5–15%), and higher PRB utilization and allocation (5–20%). - **Root Cause:** Overlapping channels from neighboring cells causing interference. - **Resolution:** Optimized frequency planning and channel allocation; adjusted transmission power and cell overlap to minimize interference.",0
TS_D009,TelecomTS,High Network Congestion (Sudden Spike),带宽不足,High Network Congestion (Sudden Spike),"**Diagnose Summary:** - **Issue:** Sudden spike in wireless network congestion. - **Symptoms:** Significant uplink buffer backlog (100–400% increase), elevated PRB utilization for both uplink and downlink (30–80% increase), higher block error rates (50–150% increase), reduced transmitted/received bytes (20–50% decrease), lower packet counts (40–60% decrease), and increased PRBs allocated (40–100% increase). - **Root Cause:** Abrupt surge in network traffic demand or interference leading to congestion and resource saturation. - **Resolution:** Identified and mitigated the traffic surge, optimized resource allocation, and adjusted scheduling parameters to balance load and reduce error rates.",0
TS_D010,TelecomTS,Faulty Handover Algorithm (Too Frequent),基站故障,Faulty Handover Algorithm (Too Frequent),"**Diagnose Summary:** - **Issue:** Excessively frequent handovers due to a faulty handover algorithm. - **Symptoms:** Periodic fluctuations in Reference Signal Received Power (2.00–5.00 amplitude, 0.1000–0.3000 Hz); periodic uplink Signal-to-Noise Ratio fluctuations (1.00–3.00 amplitude, 0.1000–0.3000 Hz); increased block error rates on both uplink and downlink (30%–150%); reduced transmitted and received byte counts (10%–50% decrease); increased uplink buffer backlog (50%–200%); increased uplink/downlink packet counts (50%–200%). - **Root Cause:** Malfunctioning handover algorithm causing excessive, unnecessary cell transitions. - **Resolution:** Optimized handover algorithm parameters and thresholds to reduce handover frequency and stabilize network performance.",0
TS_D011,TelecomTS,Buffer Overflow (Gradual Buildup),带宽不足,Buffer Overflow (Gradual Buildup),"**Diagnose Summary:** - **Issue:** Gradually worsening uplink buffer overflow in the wireless network. - **Symptoms:** Exponential growth in uplink buffer backlog and block error rates; logarithmic decay of transmitted and received bytes; linear increase in uplink and downlink packet counts; logistic growth in PRB utilization and PRBs allocated. - **Root Cause:** Persistent mismatch between offered uplink traffic load and available uplink capacity, likely due to sustained congestion or misconfigured scheduling/resource allocation. - **Resolution:** Increased uplink resource allocation, optimized scheduling parameters, and temporarily throttled uplink traffic to restore buffer stability and reduce error rates.",0
KG_C1,Kaggle5GRootCause,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,0
KG_C2,Kaggle5GRootCause,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,0
KG_C3,Kaggle5GRootCause,C3,信道干扰,邻区提供更高吞吐,优化邻区关系和切换策略，降低强邻区抢占影响。,0
KG_C4,Kaggle5GRootCause,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,1
KG_C5,Kaggle5GRootCause,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,0
KG_C6,Kaggle5GRootCause,C6,信道干扰,邻区和服务小区 PCI mod 30 相同导致干扰,重新规划 PCI，消除 PCI mod 30 冲突。,1
KG_C7,Kaggle5GRootCause,C7,信号中断/覆盖退化,车速超过 40 km/h 影响吞吐,结合高速移动场景优化移动性和覆盖连续性。,0
KG_C8,Kaggle5GRootCause,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,0
