root_cause_id,scenario_id,answer,fault_type_cn,root_cause_description,suggested_action,mean_rsrp,mean_sinr,mean_throughput_mbps,mean_rb_num,mean_gps_speed_kmh
RC_ID_1P7PJMPV0R,ID_1P7PJMPV0R,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-79.355,12.058,847.792,207.317,17.4
RC_ID_8B1D1TUTFA,ID_8B1D1TUTFA,C1,信号中断/覆盖退化,服务小区下倾角过大，远端弱覆盖,复核服务小区下倾角，优化远端覆盖。,-83.542,11.217,850.051,208.43,18.5
RC_ID_IGGXMA9GZH,ID_IGGXMA9GZH,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-86.614,21.24,671.739,204.145,18.9
RC_ID_D6C9N2X295,ID_D6C9N2X295,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-84.998,10.698,921.43,207.86,15.8
RC_ID_8JC15PNP3Q,ID_8JC15PNP3Q,C5,基站故障,频繁切换降低性能,调整切换门限、迟滞和定时器，减少频繁切换。,-78.516,10.008,789.406,195.452,21.4
RC_ID_JH01F8GPC2,ID_JH01F8GPC2,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-82.035,8.22,742.545,161.97,19.9
RC_ID_4T5Z9ZTC6P,ID_4T5Z9ZTC6P,C4,信道干扰,非共站同频邻区导致严重重叠覆盖,处理同频重叠覆盖，优化频点、功率和覆盖边界。,-84.925,10.939,674.005,203.831,22
RC_ID_YN7969NO6H,ID_YN7969NO6H,C2,信号中断/覆盖退化,服务小区覆盖距离超过 1 km，越区覆盖,检查越区覆盖，调整功率、方位角或切换边界。,-78.654,11.049,702.967,207.088,20.2
RC_ID_1W0Z7Z03FA,ID_1W0Z7Z03FA,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-83.011,17.356,714.129,164.719,13.8
RC_ID_6IEENAY3DS,ID_6IEENAY3DS,C8,带宽不足,平均调度 RB 低于 160 影响吞吐,检查 RB 调度资源，评估扩容或负载均衡。,-85.281,7.62,1010.785,166.4215,19.9
